id,Name,Type,Type1,Type2,HP,Atk,Def,SpAk,SpDf,Spd,Total,Generation,Legendary
1,Bulbasaur,Grass Poison,Grass,Poison,45,49,49,65,65,45,318,1,FALSE
2,Ivysaur,Grass Poison,Grass,Poison,60,62,63,80,80,60,405,1,FALSE
3,Venusaur,Grass Poison,Grass,Poison,80,82,83,100,100,80,525,1,FALSE
3,Mega Venusaur,Grass Poison,Grass,Poison,80,100,123,122,120,80,625,1,FALSE
4,Charmander,Fire,Fire,#N/A,39,52,43,60,50,65,309,1,FALSE
5,Charmeleon,Fire,Fire,#N/A,58,64,58,80,65,80,405,1,FALSE
6,Charizard,Fire Flying,Fire,Flying,s,84,78,109,85,100,534,1,FALSE
6,Mega Charizard X,Fire Dragon,Fire,Dragon,78,130,111,130,85,100,634,1,FALSE
6,Mega Charizard Y,Fire Flying,Fire,Flying,78,104,78,159,115,100,634,1,FALSE
7,Squirtle,Water,Water,#N/A,44,48,65,50,64,43,314,1,FALSE
8,Wartortle,Water,Water,#N/A,59,63,80,65,80,58,405,1,FALSE
9,Blastoise,Water,Water,#N/A,79,83,100,85,105,78,530,1,FALSE
9,Mega Blastoise,Water,Water,#N/A,79,103,120,135,115,78,630,1,FALSE
10,Caterpie,Bug,Bug,#N/A,45,30,35,20,20,45,195,1,FALSE
11,Metapod,Bug,Bug,#N/A,50,20,55,25,25,30,205,1,FALSE
12,Butterfree,Bug Flying,Bug,Flying,60,45,50,90,80,70,395,1,FALSE
13,Weedle,Bug Poison,Bug,Poison,40,35,30,20,20,50,195,1,FALSE
14,Kakuna,Bug Poison,Bug,Poison,45,25,50,25,25,35,205,1,FALSE
15,Beedrill,Bug Poison,Bug,Poison,65,90,40,45,80,75,395,1,FALSE
15,Mega Beedrill,Bug Poison,Bug,Poison,65,150,40,15,80,145,495,1,FALSE
16,Pidgey,Normal Flying,Normal,Flying,40,45,40,35,35,56,251,1,FALSE
17,Pidgeotto,Normal Flying,Normal,Flying,63,60,55,50,50,71,349,1,FALSE
18,Pidgeot,Normal Flying,Normal,Flying,83,80,75,70,70,101,479,1,FALSE
18,Mega Pidgeot,Normal Flying,Normal,Flying,83,80,80,135,80,121,579,1,FALSE
19,Rattata,Normal,Normal,#N/A,30,56,35,25,35,72,253,1,FALSE
20,Raticate,Normal,Normal,#N/A,55,81,60,50,70,97,413,1,FALSE
21,Spearow,Normal Flying,Normal,Flying,40,60,30,31,31,70,262,1,FALSE
22,Fearow,Normal Flying,Normal,Flying,65,90,65,61,61,100,442,1,FALSE
23,Ekans,Poison,Poison,#N/A,35,60,44,40,54,55,288,1,FALSE
24,Arbok,Poison,Poison,#N/A,60,85,69,65,79,80,438,1,FALSE
25,Pikachu,Electric,Electric,#N/A,35,55,40,50,50,90,320,1,FALSE
26,Raichu,Electric,Electric,#N/A,60,90,55,90,80,110,485,1,FALSE
