#,Number,Name,Type,Type1,Type2,Total,HP,Atk,Def,SpAk,SpDf,Spd,Generation,Legendary,MegaEvolution,FinalEvolution
0,1,Bulbasaur,Grass Poison,Grass,Poison,318,45,49,49,65,65,45,1,FALSE,FALSE,FALSE
1,2,Ivysaur,Grass Poison,Grass,Poison,405,60,62,63,80,80,60,1,FALSE,FALSE,FALSE
2,3,Venusaur,Grass Poison,Grass,Poison,525,80,82,83,100,100,80,1,FALSE,FALSE,TRUE
3,3,Mega Venusaur,Grass Poison,Grass,Poison,625,80,100,123,122,120,80,1,FALSE,TRUE,TRUE
4,4,Charmander,Fire,Fire,,309,39,52,43,60,50,65,1,FALSE,FALSE,FALSE
5,5,Charmeleon,Fire,Fire,,405,58,64,58,80,65,80,1,FALSE,FALSE,FALSE
6,6,Charizard,Fire Flying,Fire,Flying,534,78,84,78,109,85,100,1,FALSE,FALSE,TRUE
7,6,Mega Charizard X,Fire Dragon,Fire,Dragon,634,78,130,111,130,85,100,1,FALSE,TRUE,TRUE
8,6,Mega Charizard Y,Fire Flying,Fire,Flying,634,78,104,78,159,115,100,1,FALSE,TRUE,TRUE
9,7,Squirtle,Water,Water,,314,44,48,65,50,64,43,1,FALSE,FALSE,FALSE
10,8,Wartortle,Water,Water,,405,59,63,80,65,80,58,1,FALSE,FALSE,FALSE
11,9,Blastoise,Water,Water,,530,79,83,100,85,105,78,1,FALSE,FALSE,TRUE
12,9,Mega Blastoise,Water,Water,,630,79,103,120,135,115,78,1,FALSE,TRUE,TRUE
13,10,Caterpie,Bug,Bug,,195,45,30,35,20,20,45,1,FALSE,FALSE,FALSE
14,11,Metapod,Bug,Bug,,205,50,20,55,25,25,30,1,FALSE,FALSE,FALSE
15,12,Butterfree,Bug Flying,Bug,Flying,395,60,45,50,90,80,70,1,FALSE,FALSE,TRUE
16,13,Weedle,Bug Poison,Bug,Poison,195,40,35,30,20,20,50,1,FALSE,FALSE,FALSE
17,14,Kakuna,Bug Poison,Bug,Poison,205,45,25,50,25,25,35,1,FALSE,FALSE,FALSE
18,15,Beedrill,Bug Poison,Bug,Poison,395,65,90,40,45,80,75,1,FALSE,FALSE,TRUE
19,15,Mega Beedrill,Bug Poison,Bug,Poison,495,65,150,40,15,80,145,1,FALSE,TRUE,TRUE
20,16,Pidgey,Normal Flying,Normal,Flying,251,40,45,40,35,35,56,1,FALSE,FALSE,FALSE
21,17,Pidgeotto,Normal Flying,Normal,Flying,349,63,60,55,50,50,71,1,FALSE,FALSE,FALSE
22,18,Pidgeot,Normal Flying,Normal,Flying,479,83,80,75,70,70,101,1,FALSE,FALSE,TRUE
23,18,Mega Pidgeot,Normal Flying,Normal,Flying,579,83,80,80,135,80,121,1,FALSE,TRUE,TRUE
24,19,Rattata,Normal,Normal,,253,30,56,35,25,35,72,1,FALSE,FALSE,FALSE
